Prueba,Valor Solución
MinPol1.mpl,0.09
MinPol2.mpl,0.000
MinPol3.mpl,0.000
MinPol4.mpl,0.000
MinPol5.mpl,0.482
MinPol6.mpl,0.003
MinPol7.mpl,3.085
MinPol8.mpl,4.323
MinPol9.mpl,5.373
MinPol10.mpl,9.686
MinPol11.mpl,10.349
MinPol12.mpl,3.721
MinPol13.mpl,12.417
MinPol14.mpl,6.549
MinPol15.mpl,10.313
MinPol16.mpl,18.786
MinPol17.mpl,14.171
MinPol18.mpl,17.897
MinPol19.mpl,19.603
MinPol20.mpl,23.566
MinPol21.mpl,24.175
MinPol22.mpl,31.135
MinPol23.mpl,3.822
MinPol24.mpl,29.902
MinPol25.mpl,24.775
MinPol26.mpl,30.748
MinPol27.mpl,25.021
MinPol28.mpl,14.683
MinPol29.mpl,29.999
MinPol30.mpl,0
