instancia,archivo,n,m,distribucion_inicial,ct,MaxMovs,estado_solver,polarizacion,mediana,poblacion_final,movimientos_realizados,costo_usado,movimientos_usados,personas_movidas,porcentaje_presupuesto,porcentaje_movimientos,tiempo_segundos,observaciones,valor_esperado,diferencia_abs,comparacion_esperada
MinPol1,BateriaDePruebas\dzn\MinPol1.dzn,5,5,"[1, 1, 1, 1, 1]",16.38,5,error,,,,,,,,,,0.0716,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,0.09,,sin_resultado_modelo
MinPol2,BateriaDePruebas\dzn\MinPol2.dzn,5,5,"[0, 1, 0, 1, 3]",75.43,39,error,,,,,,,,,,0.0766,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,0.0,,sin_resultado_modelo
MinPol3,BateriaDePruebas\dzn\MinPol3.dzn,5,10,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 0]",128.46,140,error,,,,,,,,,,0.0849,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,0.0,,sin_resultado_modelo
MinPol4,BateriaDePruebas\dzn\MinPol4.dzn,10,5,"[2, 1, 1, 4, 2]",38.74,19,error,,,,,,,,,,0.0839,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,0.0,,sin_resultado_modelo
MinPol5,BateriaDePruebas\dzn\MinPol5.dzn,10,5,"[6, 1, 0, 1, 2]",29.35,9,error,,,,,,,,,,0.0949,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,0.482,,sin_resultado_modelo
MinPol6,BateriaDePruebas\dzn\MinPol6.dzn,20,5,"[1, 6, 4, 7, 2]",22.3,26,error,,,,,,,,,,0.091,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,0.003,,sin_resultado_modelo
MinPol7,BateriaDePruebas\dzn\MinPol7.dzn,35,5,"[13, 1, 9, 8, 4]",8.44,20,error,,,,,,,,,,0.0862,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,3.085,,sin_resultado_modelo
MinPol8,BateriaDePruebas\dzn\MinPol8.dzn,35,5,"[10, 5, 12, 3, 5]",3.43,16,error,,,,,,,,,,0.0802,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,4.323,,sin_resultado_modelo
MinPol9,BateriaDePruebas\dzn\MinPol9.dzn,50,5,"[15, 15, 17, 0, 3]",15.37,7,error,,,,,,,,,,0.0889,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,5.373,,sin_resultado_modelo
MinPol10,BateriaDePruebas\dzn\MinPol10.dzn,50,5,"[15, 11, 5, 1, 18]",5.85,18,error,,,,,,,,,,0.0825,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,9.686,,sin_resultado_modelo
MinPol11,BateriaDePruebas\dzn\MinPol11.dzn,50,10,"[7, 11, 0, 10, 2, 6, 2, 7, 4, 1]",38.02,25,error,,,,,,,,,,0.124,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,10.349,,sin_resultado_modelo
MinPol12,BateriaDePruebas\dzn\MinPol12.dzn,50,10,"[0, 7, 7, 9, 0, 10, 4, 6, 1, 6]",18.78,42,error,,,,,,,,,,0.0836,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,3.721,,sin_resultado_modelo
MinPol13,BateriaDePruebas\dzn\MinPol13.dzn,75,10,"[5, 14, 9, 0, 9, 1, 2, 14, 9, 12]",68.39,69,error,,,,,,,,,,0.0804,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,12.417,,sin_resultado_modelo
MinPol14,BateriaDePruebas\dzn\MinPol14.dzn,75,10,"[3, 8, 4, 12, 11, 6, 6, 13, 6, 6]",26.25,71,error,,,,,,,,,,0.0737,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,6.549,,sin_resultado_modelo
MinPol15,BateriaDePruebas\dzn\MinPol15.dzn,100,5,"[30, 30, 25, 13, 2]",52.42,35,error,,,,,,,,,,0.1027,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,10.313,,sin_resultado_modelo
MinPol16,BateriaDePruebas\dzn\MinPol16.dzn,100,5,"[14, 23, 31, 28, 4]",5.82,38,error,,,,,,,,,,0.1239,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,18.786,,sin_resultado_modelo
MinPol17,BateriaDePruebas\dzn\MinPol17.dzn,100,10,"[2, 27, 13, 6, 19, 3, 3, 6, 17, 4]",5.05,43,error,,,,,,,,,,0.0689,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,14.171,,sin_resultado_modelo
MinPol18,BateriaDePruebas\dzn\MinPol18.dzn,100,10,"[16, 2, 15, 17, 6, 17, 9, 0, 9, 9]",8.31,42,error,,,,,,,,,,0.0741,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,17.897,,sin_resultado_modelo
MinPol19,BateriaDePruebas\dzn\MinPol19.dzn,100,20,"[12, 3, 10, 7, 1, 1, 1, 4, 4, 8, 5, 11, 10, 3, 2, 1, 3, 3, 9, 2]",22.44,14,error,,,,,,,,,,0.0732,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,19.603,,sin_resultado_modelo
MinPol20,BateriaDePruebas\dzn\MinPol20.dzn,100,20,"[6, 3, 4, 7, 9, 9, 5, 3, 4, 1, 2, 0, 2, 5, 11, 12, 4, 2, 3, 8]",1.67,4,error,,,,,,,,,,0.0694,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,23.566,,sin_resultado_modelo
MinPol21,BateriaDePruebas\dzn\MinPol21.dzn,120,3,"[59, 29, 32]",38.76,44,error,,,,,,,,,,0.0692,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,24.175,,sin_resultado_modelo
MinPol22,BateriaDePruebas\dzn\MinPol22.dzn,150,3,"[78, 5, 67]",18.37,9,error,,,,,,,,,,0.0755,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,31.135,,sin_resultado_modelo
MinPol23,BateriaDePruebas\dzn\MinPol23.dzn,150,3,"[130, 9, 11]",36.29,17,error,,,,,,,,,,0.0746,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,3.822,,sin_resultado_modelo
MinPol24,BateriaDePruebas\dzn\MinPol24.dzn,200,3,"[52, 6, 142]",3.82,9,error,,,,,,,,,,0.0786,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,29.902,,sin_resultado_modelo
MinPol25,BateriaDePruebas\dzn\MinPol25.dzn,180,3,"[40, 55, 85]",15.37,25,error,,,,,,,,,,0.0745,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,24.775,,sin_resultado_modelo
MinPol26,BateriaDePruebas\dzn\MinPol26.dzn,100,5,"[50, 0, 0, 0, 50]",80.76,20,error,,,,,,,,,,0.0697,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,30.748,,sin_resultado_modelo
MinPol27,BateriaDePruebas\dzn\MinPol27.dzn,100,5,"[50, 0, 0, 0, 50]",63.68,30,error,,,,,,,,,,0.0763,Error: error: Cannot open file 'C:\Users\brs77\Desktop\Juanes\ADAII\Proyecto2\Minzinc2.mzn'.,25.021,,sin_resultado_modelo
